timestep,zone,mean_ps2,n,scenario,mode,rep
49,inner,0.0,4,official_zones,sys1_only,3
50,inner,0.0,3,official_zones,sys1_only,3
51,inner,0.0,3,official_zones,sys1_only,3
52,inner,0.0,3,official_zones,sys1_only,3
53,inner,0.0,2,official_zones,sys1_only,3
54,inner,0.0,2,official_zones,sys1_only,3
55,inner,0.0,4,official_zones,sys1_only,3
56,inner,0.0,3,official_zones,sys1_only,3
57,inner,0.0,2,official_zones,sys1_only,3
58,inner,0.0,1,official_zones,sys1_only,3
59,inner,0.0,2,official_zones,sys1_only,3
61,inner,0.0,1,official_zones,sys1_only,3
62,inner,0.0,1,official_zones,sys1_only,3
63,inner,0.0,2,official_zones,sys1_only,3
64,inner,0.0,3,official_zones,sys1_only,3
65,inner,0.0,3,official_zones,sys1_only,3
66,inner,0.0,3,official_zones,sys1_only,3
0,mid,0.0,103,official_zones,sys1_only,3
1,mid,0.0,111,official_zones,sys1_only,3
2,mid,0.0,102,official_zones,sys1_only,3
3,mid,0.0,89,official_zones,sys1_only,3
4,mid,0.0,82,official_zones,sys1_only,3
5,mid,0.0,75,official_zones,sys1_only,3
6,mid,0.0,65,official_zones,sys1_only,3
7,mid,0.0,51,official_zones,sys1_only,3
8,mid,0.0,47,official_zones,sys1_only,3
9,mid,0.0,40,official_zones,sys1_only,3
10,mid,0.0,38,official_zones,sys1_only,3
11,mid,0.0,33,official_zones,sys1_only,3
12,mid,0.0,27,official_zones,sys1_only,3
13,mid,0.0,26,official_zones,sys1_only,3
14,mid,0.0,22,official_zones,sys1_only,3
15,mid,0.0,17,official_zones,sys1_only,3
16,mid,0.0,17,official_zones,sys1_only,3
17,mid,0.0,13,official_zones,sys1_only,3
18,mid,0.0,11,official_zones,sys1_only,3
19,mid,0.0,12,official_zones,sys1_only,3
20,mid,0.0,12,official_zones,sys1_only,3
21,mid,0.0,13,official_zones,sys1_only,3
22,mid,0.0,11,official_zones,sys1_only,3
23,mid,0.0,10,official_zones,sys1_only,3
24,mid,0.0,9,official_zones,sys1_only,3
25,mid,0.0,7,official_zones,sys1_only,3
26,mid,0.0,6,official_zones,sys1_only,3
27,mid,0.0,6,official_zones,sys1_only,3
28,mid,0.0,6,official_zones,sys1_only,3
29,mid,0.0,7,official_zones,sys1_only,3
30,mid,0.0,8,official_zones,sys1_only,3
31,mid,0.0,6,official_zones,sys1_only,3
32,mid,0.0,4,official_zones,sys1_only,3
33,mid,0.0,5,official_zones,sys1_only,3
34,mid,0.0,5,official_zones,sys1_only,3
35,mid,0.0,5,official_zones,sys1_only,3
36,mid,0.0,7,official_zones,sys1_only,3
37,mid,0.0,7,official_zones,sys1_only,3
38,mid,0.0,7,official_zones,sys1_only,3
39,mid,0.0,4,official_zones,sys1_only,3
40,mid,0.0,6,official_zones,sys1_only,3
41,mid,0.0,4,official_zones,sys1_only,3
42,mid,0.0,4,official_zones,sys1_only,3
43,mid,0.0,2,official_zones,sys1_only,3
44,mid,0.0,4,official_zones,sys1_only,3
45,mid,0.0,5,official_zones,sys1_only,3
46,mid,0.0,5,official_zones,sys1_only,3
47,mid,0.0,5,official_zones,sys1_only,3
48,mid,0.0,3,official_zones,sys1_only,3
49,mid,0.0,3,official_zones,sys1_only,3
50,mid,0.0,4,official_zones,sys1_only,3
51,mid,0.0,3,official_zones,sys1_only,3
52,mid,0.0,3,official_zones,sys1_only,3
53,mid,0.0,4,official_zones,sys1_only,3
54,mid,0.0,4,official_zones,sys1_only,3
55,mid,0.0,2,official_zones,sys1_only,3
56,mid,0.0,3,official_zones,sys1_only,3
57,mid,0.0,3,official_zones,sys1_only,3
58,mid,0.0,3,official_zones,sys1_only,3
59,mid,0.0,2,official_zones,sys1_only,3
60,mid,0.0,3,official_zones,sys1_only,3
61,mid,0.0,3,official_zones,sys1_only,3
62,mid,0.0,2,official_zones,sys1_only,3
63,mid,0.0,1,official_zones,sys1_only,3
67,mid,0.0,3,official_zones,sys1_only,3
68,mid,0.0,3,official_zones,sys1_only,3
69,mid,0.0,3,official_zones,sys1_only,3
70,mid,0.0,3,official_zones,sys1_only,3
71,mid,0.0,2,official_zones,sys1_only,3
72,mid,0.0,2,official_zones,sys1_only,3
0,outer,0.0,148,official_zones,sys1_only,3
1,outer,0.0,128,official_zones,sys1_only,3
2,outer,0.0,122,official_zones,sys1_only,3
3,outer,0.0,104,official_zones,sys1_only,3
4,outer,0.0,80,official_zones,sys1_only,3
5,outer,0.0,65,official_zones,sys1_only,3
6,outer,0.0,63,official_zones,sys1_only,3
7,outer,0.0,55,official_zones,sys1_only,3
8,outer,0.0,44,official_zones,sys1_only,3
9,outer,0.0,36,official_zones,sys1_only,3
10,outer,0.0,31,official_zones,sys1_only,3
11,outer,0.0,27,official_zones,sys1_only,3
12,outer,0.0,21,official_zones,sys1_only,3
13,outer,0.0,18,official_zones,sys1_only,3
14,outer,0.0,16,official_zones,sys1_only,3
15,outer,0.0,17,official_zones,sys1_only,3
16,outer,0.0,16,official_zones,sys1_only,3
17,outer,0.0,13,official_zones,sys1_only,3
18,outer,0.0,10,official_zones,sys1_only,3
19,outer,0.0,10,official_zones,sys1_only,3
20,outer,0.0,9,official_zones,sys1_only,3
21,outer,0.0,7,official_zones,sys1_only,3
22,outer,0.0,6,official_zones,sys1_only,3
23,outer,0.0,5,official_zones,sys1_only,3
24,outer,0.0,3,official_zones,sys1_only,3
25,outer,0.0,1,official_zones,sys1_only,3
26,outer,0.0,2,official_zones,sys1_only,3
27,outer,0.0,2,official_zones,sys1_only,3
28,outer,0.0,1,official_zones,sys1_only,3
29,outer,0.0,1,official_zones,sys1_only,3
30,outer,0.0,2,official_zones,sys1_only,3
31,outer,0.0,2,official_zones,sys1_only,3
43,outer,0.0,1,official_zones,sys1_only,3
44,outer,0.0,1,official_zones,sys1_only,3
45,outer,0.0,1,official_zones,sys1_only,3
46,outer,0.0,1,official_zones,sys1_only,3
47,outer,0.0,1,official_zones,sys1_only,3
48,outer,0.0,2,official_zones,sys1_only,3
49,outer,0.0,2,official_zones,sys1_only,3
50,outer,0.0,1,official_zones,sys1_only,3
51,outer,0.0,2,official_zones,sys1_only,3
52,outer,0.0,2,official_zones,sys1_only,3
60,outer,0.0,1,official_zones,sys1_only,3
71,outer,0.0,1,official_zones,sys1_only,3
72,outer,0.0,1,official_zones,sys1_only,3
0,inner,0.0,26,official_zones,sys1_only,4
1,inner,0.0,21,official_zones,sys1_only,4
2,inner,0.0,15,official_zones,sys1_only,4
3,inner,0.0,16,official_zones,sys1_only,4
4,inner,0.0,8,official_zones,sys1_only,4
5,inner,0.0,7,official_zones,sys1_only,4
6,inner,0.0,6,official_zones,sys1_only,4
7,inner,0.0,6,official_zones,sys1_only,4
8,inner,0.0,4,official_zones,sys1_only,4
9,inner,0.0,5,official_zones,sys1_only,4
10,inner,0.0,6,official_zones,sys1_only,4
11,inner,0.0,7,official_zones,sys1_only,4
12,inner,0.0,6,official_zones,sys1_only,4
13,inner,0.0,8,official_zones,sys1_only,4
14,inner,0.0,7,official_zones,sys1_only,4
15,inner,0.0,5,official_zones,sys1_only,4
16,inner,0.0,5,official_zones,sys1_only,4
17,inner,0.0,5,official_zones,sys1_only,4
18,inner,0.0,5,official_zones,sys1_only,4
19,inner,0.0,4,official_zones,sys1_only,4
20,inner,0.0,4,official_zones,sys1_only,4
21,inner,0.0,4,official_zones,sys1_only,4
22,inner,0.0,5,official_zones,sys1_only,4
23,inner,0.0,4,official_zones,sys1_only,4
