kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
31.0,4,0.30773827859421465,0.10027580358263431,0.00012183247949823208
31.0,5,0.3249390574617098,0.11044430639809863,0.00011105994166046791
31.0,6,0.3442550752996356,0.0840878284001807,0.0015059807999058287
31.0,7,0.3074671546689737,0.10747722584011614,5.177975459214881e-05
31.0,8,0.30198607381899073,0.11279291516680923,0.00017098455392636075
31.0,9,0.29568889592480385,0.10841818931821426,0.0003541961401973012
32.0,0,0.37412974578299507,0.0588381256713266,0.006071920218310242
32.0,1,0.32171372374464624,0.11600337751097957,0.00010108510682536734
32.0,2,0.31553492574988545,0.11880273675006847,9.716471909891894e-05
32.0,3,0.31697198994333364,0.11195556253263274,1.4846084164245106e-05
32.0,4,0.31122362436740464,0.1051058512223964,2.5899031987976328e-05
32.0,5,0.323798783760646,0.1061164604502785,9.478217976206224e-05
32.0,6,0.33845267610092994,0.10431285101754478,0.0005957000579797911
32.0,7,0.31670268703934196,0.11072678075397063,7.833601965568417e-06
32.0,8,0.29485179188662614,0.1124675764015511,0.00039807616816704466
32.0,9,0.3302054649951454,0.09624803902935519,0.0004092741393105864
33.0,0,0.3016182504815571,0.10829189773545102,0.00016644087947296322
33.0,1,0.32717479798217963,0.11349584141775407,0.00018086309394265774
33.0,2,0.32262418253068875,0.10287897386865145,0.00010346930269260001
33.0,3,0.33490019213163735,0.10787721230190636,0.0004174284912227089
33.0,4,0.3195106577532418,0.10414383842813331,4.868899633219669e-05
33.0,5,0.34848370373489734,0.10088963738956316,0.0012206701012140474
33.0,6,0.3138337817248786,0.12405953956905857,0.00022723357882214668
33.0,7,0.3099828789004806,0.11284214745431156,3.516648008839624e-05
33.0,8,0.30800332495066246,0.11481441694505135,7.601423110758517e-05
33.0,9,0.329341201066053,0.10396700099984943,0.00024559232801853
34.0,0,0.348808831939767,0.07729952470248465,0.0021820160831595554
34.0,1,0.31361461797099144,0.09862239582549422,0.00010847856974001119
34.0,2,0.323674323679209,0.11435735505398971,0.00011286946814540418
34.0,3,0.3431643135643837,0.08512922010269657,0.0013914570050228173
34.0,4,0.31255076064501425,0.11640097870052996,5.857401978872335e-05
34.0,5,0.33360294665814516,0.09618698527875476,0.0005290959172707866
34.0,6,0.32337878819691596,0.10559789251251579,9.040721520209016e-05
34.0,7,0.30790845445045273,0.10223513170935432,8.921191572153988e-05
34.0,8,0.34083046419607,0.0938697827243879,0.0009222168195877548
34.0,9,0.29993095895543015,0.12032522913823591,0.0003405177719919088
35.0,0,0.31556354566239553,0.1055736172486388,1.2871228134825893e-05
35.0,1,0.3134726444324323,0.11595329960619909,4.940383487578078e-05
35.0,2,0.295394826534636,0.11704706746542928,0.00042976294793481916
35.0,3,0.30822154733123874,0.11336495514112495,5.847180129790849e-05
35.0,4,0.33961563912694454,0.094140053418159,0.0008516133411700754
35.0,5,0.32553533145652896,0.10115047318473663,0.00018339361157899628
35.0,6,0.32341850957281637,0.10420296211521422,0.0001025513854684872
35.0,7,0.33788713501828244,0.11357976744580389,0.0005679323542210177
35.0,8,0.32803769038920977,0.10613247061324223,0.0001914917858580219
35.0,9,0.31345573629649903,0.10748401585350217,3.388694614882302e-06
