cmc,alpha,beta,kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
0.2,1.25,2.1666666666666665,15.0,1,0.25044639508734,0.09660811510365724,0.004256423113591348
0.2,1.25,2.1666666666666665,15.0,2,0.25869559446340223,0.09747525905190396,0.0032469513312137852
0.2,1.25,2.1666666666666665,15.0,3,0.2677929801215963,0.09628952524392463,0.002343101874446428
0.2,1.25,2.1666666666666665,15.0,4,0.26466771463073513,0.10308037035345251,0.0025182986802761336
0.2,1.25,2.1666666666666665,15.0,5,0.27104531249222125,0.08829040497751657,0.002317197192393973
0.2,1.25,2.1666666666666665,15.0,6,0.27583897098518884,0.09882796989010152,0.001598145361040752
0.2,1.25,2.1666666666666665,16.25,0,0.2544785596168526,0.10003113251907665,0.0036830138895580797
0.2,1.25,2.1666666666666665,16.25,1,0.2856545811995109,0.0898504434892584,0.0011987637003336947
0.2,1.25,2.1666666666666665,16.25,2,0.2683365637092032,0.09305956136297874,0.002385160434115093
0.2,1.25,2.1666666666666665,16.25,3,0.27073322961930446,0.08485353721120391,0.002498581854767243
0.2,1.25,2.1666666666666665,16.25,4,0.2721796439045175,0.08098240618456627,0.002575998103255074
0.2,1.25,2.1666666666666665,16.25,5,0.264605417642655,0.09899445748084872,0.002589580229716428
0.2,1.25,2.1666666666666665,16.25,6,0.2546341889066184,0.09902964907452388,0.003683323235445597
0.2,1.25,2.1666666666666665,17.5,0,0.2632830511131453,0.0917813444097745,0.002919657953613489
0.2,1.25,2.1666666666666665,17.5,1,0.2578065151261396,0.09815658264915814,0.003331730926987175
0.2,1.25,2.1666666666666665,17.5,2,0.25956915380958445,0.09405560966020596,0.00324073266582322
0.2,1.25,2.1666666666666665,17.5,3,0.2690810112204546,0.08352624702967987,0.002711796632149367
0.2,1.25,2.1666666666666665,17.5,4,0.2593469905153899,0.09257964188075495,0.003311482615973749
0.2,1.25,2.1666666666666665,17.5,5,0.2514648429861987,0.10627387944558753,0.003980862753031774
0.2,1.25,2.1666666666666665,17.5,6,0.23514385920348635,0.09533376548563398,0.006484163047917747
0.2,1.25,2.1666666666666665,18.75,0,0.27248389642841186,0.09745825356213594,0.001898564870174369
0.2,1.25,2.1666666666666665,18.75,1,0.2608150063939285,0.0930058933209276,0.003137889986945485
